Player,Pos,Age,Team,Birth Date
Alex Abrines,SG,23.0,Oklahoma City Thunder,1993-08-01
Quincy Acy,PF,26.0,Dallas Mavericks,1990-10-06
Quincy Acy,PF,26.0,Brooklyn Nets,1990-10-06
Steven Adams,C,23.0,Oklahoma City Thunder,1993-07-20
Arron Afflalo,SG,31.0,Sacramento Kings,1985-10-15
Alexis Ajinca,C,28.0,New Orleans Pelicans,1988-05-06
Cole Aldrich,C,28.0,Minnesota Timberwolves,1988-10-31
LaMarcus Aldridge,PF,31.0,San Antonio Spurs,1985-07-19
Lavoy Allen,PF,27.0,Indiana Pacers,1989-02-04
Tony Allen,SG,35.0,Memphis Grizzlies,1982-01-11
Al-Farouq Aminu,SF,26.0,Portland Trail Blazers,1990-09-21
Chris Andersen,C,38.0,Cleveland Cavaliers,1978-07-07
Alan Anderson,SF,34.0,Los Angeles Clippers,1982-10-16
Justin Anderson,SF,23.0,Dallas Mavericks,1993-11-19
Justin Anderson,SF,23.0,Philadelphia 76ers,1993-11-19
Kyle Anderson,SG,23.0,San Antonio Spurs,1993-09-20
Ryan Anderson,PF,28.0,Houston Rockets,1988-05-06
Giannis Antetokounmpo,SF,22.0,Milwaukee Bucks,1994-12-06
Carmelo Anthony,SF,32.0,New York Knicks,1984-05-29
Joel Anthony,C,34.0,San Antonio Spurs,1982-08-09
Trevor Ariza,SF,31.0,Houston Rockets,1985-06-30
Darrell Arthur,PF,28.0,Denver Nuggets,1988-03-25
Omer Asik,C,30.0,New Orleans Pelicans,1986-07-04
D.J. Augustin,PG,29.0,Orlando Magic,1987-11-10
Luke Babbitt,SF,27.0,Miami Heat,1989-06-20
Ron Baker,SG,23.0,New York Knicks,1993-03-30
Wade Baldwin,PG,20.0,Memphis Grizzlies,1996-03-29
Leandro Barbosa,SG,34.0,Phoenix Suns,1982-11-28
J.J. Barea,PG,32.0,Dallas Mavericks,1984-06-26
Harrison Barnes,PF,24.0,Dallas Mavericks,1992-05-30
Matt Barnes,SF,36.0,Sacramento Kings,1980-03-09
Matt Barnes,SF,36.0,Golden State Warriors,1980-03-09
Will Barton,SG,26.0,Denver Nuggets,1991-01-06
Brandon Bass,PF,31.0,Los Angeles Clippers,1985-04-30
Nicolas Batum,SG,28.0,Charlotte Hornets,1988-12-14
Jerryd Bayless,PG,28.0,Philadelphia 76ers,1988-08-20
Aron Baynes,C,30.0,Detroit Pistons,1986-12-09
Kent Bazemore,SF,27.0,Atlanta Hawks,1989-07-01
Bradley Beal,SG,23.0,Washington Wizards,1993-06-28
Malik Beasley,SG,20.0,Denver Nuggets,1996-11-26
Michael Beasley,PF,28.0,Milwaukee Bucks,1989-01-09
Marco Belinelli,SG,30.0,Charlotte Hornets,1986-03-25
DeAndre' Bembry,SF,22.0,Atlanta Hawks,1994-07-04
Dragan Bender,PF,19.0,Phoenix Suns,1997-11-17
Anthony Bennett,PF,23.0,Brooklyn Nets,1993-03-14
Ben Bentil,PF,21.0,Dallas Mavericks,1995-03-29
Davis Bertans,PF,24.0,San Antonio Spurs,1992-11-12
Patrick Beverley,SG,28.0,Houston Rockets,1988-07-12
Bismack Biyombo,C,24.0,Orlando Magic,1992-08-28
Nemanja Bjelica,PF,28.0,Minnesota Timberwolves,1988-05-09
Tarik Black,C,25.0,Los Angeles Lakers,1991-11-22
Eric Bledsoe,PG,27.0,Phoenix Suns,1989-12-09
Bojan Bogdanovic,SF,27.0,Brooklyn Nets,1989-04-18
Bojan Bogdanovic,SF,27.0,Washington Wizards,1989-04-18
Andrew Bogut,C,32.0,Dallas Mavericks,1984-11-28
Andrew Bogut,C,32.0,Cleveland Cavaliers,1984-11-28
Joel Bolomboy,PF,23.0,Utah Jazz,1994-01-28
Devin Booker,SG,20.0,Phoenix Suns,1996-10-30
Trevor Booker,PF,29.0,Brooklyn Nets,1987-11-25
Avery Bradley,SG,26.0,Boston Celtics,1990-11-26
Corey Brewer,SF,30.0,Houston Rockets,1986-03-05
Corey Brewer,SF,30.0,Los Angeles Lakers,1986-03-05
Malcolm Brogdon,SG,24.0,Milwaukee Bucks,1992-12-11
Aaron Brooks,PG,32.0,Indiana Pacers,1985-01-14
Anthony Brown,SF,24.0,New Orleans Pelicans,1992-10-10
Anthony Brown,SF,24.0,Orlando Magic,1992-10-10
Bobby Brown,PG,32.0,Houston Rockets,1984-09-24
Jaylen Brown,SF,20.0,Boston Celtics,1996-10-24
Nicolas Brussino,SF,23.0,Dallas Mavericks,1993-03-02
Reggie Bullock,SF,25.0,Detroit Pistons,1991-03-16
Trey Burke,PG,24.0,Washington Wizards,1992-11-12
Alec Burks,SG,25.0,Utah Jazz,1991-07-20
Jimmy Butler,SF,27.0,Chicago Bulls,1989-09-14
Bruno Caboclo,SF,21.0,Toronto Raptors,1995-09-21
Jose Calderon,PG,35.0,Los Angeles Lakers,1981-09-28
Jose Calderon,PG,35.0,Atlanta Hawks,1981-09-28
Kentavious Caldwell-Pope,SG,23.0,Detroit Pistons,1993-02-18
Isaiah Canaan,SG,25.0,Chicago Bulls,1991-05-21
Clint Capela,C,22.0,Houston Rockets,1994-05-18
DeMarre Carroll,SF,30.0,Toronto Raptors,1986-07-27
Vince Carter,SF,40.0,Memphis Grizzlies,1977-01-26
Michael Carter-Williams,PG,25.0,Chicago Bulls,1991-10-10
Omri Casspi,SF,28.0,Sacramento Kings,1988-06-22
Omri Casspi,SF,28.0,New Orleans Pelicans,1988-06-22
Omri Casspi,SF,28.0,Minnesota Timberwolves,1988-06-22
